symbol,initial_value,final_value,total_return,return_pct,annualized_return,spy_return,outperformance,sharpe,calmar,sqn,max_drawdown,max_drawdown_money,total_trades,wins,losses,win_rate,avg_win,avg_loss,rr_ratio,profit_factor,expectancy,best_trade,worst_trade,avg_trade_len,max_trade_len,max_win_streak,max_loss_streak
MA,10000,10330.685838646796,330.6858386467957,3.306858386467959,1.6432685404472513,50.068517803902424,-46.761659417434466,0.042270910033546376,0.46308317488000245,0.30756263460267913,7.140959909253573,772.9544687547786,6,2,4,33.33333333333333,656.9690343757864,245.81305752619394,2.6726368443864277,1.3363184221932138,55.114306441132754,767.7410953952624,-354.78137732058894,30.333333333333332,85,1,2
BLK,10000,13635.630511750996,3635.6305117509964,36.356305117509955,16.80770314882278,50.068517803902424,-13.71221268639247,1.8062851896585352,4.152106276765685,1.2137649005915534,8.756111403253863,1199.8000882934375,10,5,4,50.0,829.4414178162742,376.41163090485884,2.2035488537439014,2.754436067179877,226.5148934557077,1406.1165864904972,-624.2521891900628,24.77777777777778,45,3,1
GS,10000,15859.86541157522,5859.86541157522,58.598654115752204,25.993706899675285,50.068517803902424,8.53013631184978,1.203507301146622,5.549087989858409,1.8148952279686397,10.560051349491651,1152.4977393820373,11,6,4,54.54545454545454,986.3560315155861,320.19269437957485,3.0805076094156694,4.620761414123504,392.4702470177856,1643.476351960109,-386.2223381383899,20.4,52,3,2
PG,10000,8313.664966921471,-1686.3350330785288,-16.863350330785288,-8.837436240189467,50.068517803902424,-66.9318681346877,-1.5834946813520734,-0.9195184517025115,-2.679480463058919,18.339327829215794,1865.601805927461,9,1,8,11.11111111111111,259.5923300491607,243.24092039096152,1.0672231038754398,0.13340288798442998,-187.37055923094792,259.5923300491607,-484.94761940744706,14.222222222222221,33,1,7
KO,10000,11755.011409330986,1755.0114093309858,17.550114093309865,8.437958238446818,50.068517803902424,-32.51840371059256,0.9974544677778423,2.5319583100143395,0.9654551168853567,6.931438809200011,840.948209037344,9,5,4,55.55555555555556,530.7778952062488,224.71951667506448,2.361957265926896,2.95244658240862,195.00126770344292,1331.2442775388236,-543.8443525855718,19.333333333333332,48,2,1
WMT,10000,11191.973323662536,1191.9733236625361,11.919733236625362,5.803966210365474,50.068517803902424,-38.14878456727706,0.28996918607618216,0.9382428262437525,0.6600206406028242,12.704315879872928,1623.3983579439755,11,4,7,36.36363636363637,640.8084229906148,195.89433832856065,3.2711941981489483,1.869253827513685,108.3612112420486,1564.0126961514466,-570.5196069704232,20.818181818181817,57,2,4
PEP,10000,10686.951012374288,686.9510123742875,6.8695101237428835,3.384537931954079,50.068517803902424,-43.19900768015954,0.33737614163177154,1.0785491330699501,0.5195728369370411,6.369213894029764,714.8078433403371,6,2,4,33.33333333333333,732.6864974911733,194.60549565201435,3.7649835891650953,1.8824917945825477,114.49183539571479,1259.8726986253153,-366.98540674526475,20.0,37,2,2
NEE,10000,9897.003695562455,-102.9963044375454,-1.0299630443754593,-0.5173382353986788,50.068517803902424,-51.09848084827788,-0.08596846861889461,-0.050473403874139226,-0.05138733978974396,20.406054779736692,2380.3001312187807,11,4,7,36.36363636363637,562.9146818250285,336.379290248237,1.6734522550708035,0.9562584314690306,-9.363300403413149,1406.5130666997886,-1017.3601330918643,11.636363636363637,35,2,4
DUK,10000,10161.935386415422,161.93538641542182,1.619353864154216,0.8080350143032433,50.068517803902424,-48.44916393974821,-0.2890047510328998,0.17109799639314774,0.15624517041219885,9.464481749004683,1011.8556615238886,7,3,3,42.857142857142854,288.00169911113056,253.223269524741,1.1373429450289583,1.137342945028958,-21.26971153793893,320.0943571410639,-302.3123978082648,32.5,51,2,1
AMT,10000,11050.299061822458,1050.2990618224576,10.502990618224572,5.130839219327665,50.068517803902424,-39.56552718567785,0.31970620572620934,0.7744402900548611,0.5743923902624237,13.56204055122254,1733.7822981392947,6,3,3,50.0,787.5106448514742,437.41095757732074,1.8003907565856228,1.8003907565856225,175.04984363707675,1228.941318174448,-810.6562706464837,22.333333333333332,33,2,2
