symbol,initial_value,final_value,total_return,return_pct,annualized_return,spy_return,outperformance,sharpe,calmar,sqn,max_drawdown,max_drawdown_money,total_trades,wins,losses,win_rate,avg_win,avg_loss,rr_ratio,profit_factor,expectancy,best_trade,worst_trade,avg_trade_len,max_trade_len,max_win_streak,max_loss_streak
MDT,10000,9005.182941366063,-994.8170586339365,-9.948170586339366,-5.124163569524265,49.115207123903474,-59.06337771024284,-0.4892699526453869,-0.44841588632365387,-0.6680893375531324,22.185143055255313,2266.0113064721327,7,2,4,28.57142857142857,613.926928969507,555.6677291432374,1.104845390096879,0.5524226950484395,-221.49782682531043,1057.1005148011666,-571.9673978375697,43.333333333333336,110,1,3
MET,10000,11711.02607536071,1711.0260753607108,17.110260753607108,8.25154845154561,49.115207123903474,-32.004946370296366,0.4106394270538106,1.0564708749225276,0.7115622674975307,16.195676719305514,2120.8794965020425,8,4,3,50.0,833.0066033335502,607.0534166942881,1.3722130218287727,1.8296173624383634,112.97659331963104,1352.3549287896926,-926.0017305248075,51.714285714285715,82,3,2
META,10000,12526.363519154314,2526.3635191543144,25.263635191543155,11.971469016163038,49.115207123903474,-23.85157193236032,0.8112639571700958,1.4401860121899153,0.7840256033740319,17.541925124746786,2322.8808846031025,8,3,4,37.5,1841.9049349190589,670.6554025774736,2.7464252548182273,2.0598189411136705,271.55472398372603,2770.1053887124453,-909.4178808017227,44.857142857142854,116,1,1
MGM,10000,11224.978750228882,1224.9787502288818,12.249787502288822,5.972391420871559,49.115207123903474,-36.86541962161465,0.47416470259049914,0.5649132277719885,0.2500513146609472,21.68437009450433,2995.6110401153564,11,4,6,36.36363636363637,1116.3175444602966,604.3219916025797,1.8472231028693402,1.23148206857956,21.36511242028439,2796.169538497925,-788.5800514221191,26.1,86,1,2
MKC,10000,8578.220843940282,-1421.779156059718,-14.217791560597181,-7.409605059868274,49.115207123903474,-63.33299868450065,-1.1358723785274316,-0.4475967228498567,-2.0451092700479885,31.764735608590332,3740.8225520136248,6,1,4,16.666666666666664,394.04228231004817,514.654743930621,0.7656439330580965,0.19141098326452413,-363.2052395571762,394.04228231004817,-548.948434117036,34.8,74,1,4
MLM,10000,11137.89618963713,1137.8961896371293,11.378961896371287,5.558890365600999,49.115207123903474,-37.73624522753219,0.31185747842948414,0.5954448872345631,0.4333405958962207,19.110016964321975,2091.6205995929995,6,2,4,33.33333333333333,1596.558550580277,513.8052278808556,3.107322510448448,1.553661255224224,189.64936493952183,2284.0057145825012,-590.767046342769,47.0,151,1,2
MMC,10000,10284.011333483446,284.0113334834459,2.8401133348344487,1.4157721213792662,49.115207123903474,-46.275093789069025,0.03074318267177481,0.1234404655278534,0.008515284154039534,23.00796033690912,2976.889794035871,8,2,5,25.0,1102.3647846026192,437.6036141853736,2.5190943330181126,1.007637733207245,-52.611514488375406,1271.0318818506476,-732.1134558722457,54.57142857142857,184,1,4
MMM,10000,21248.587349148747,11248.587349148747,112.48587349148748,45.98797455475039,49.115207123903474,63.37066636758401,1.2091501994155205,8.377480855548303,2.316366200918505,13.427171655902916,2642.3670826505913,4,3,0,75.0,3317.882657686006,0.0,0.0,0.0,2488.4119932645044,6537.026038990051,0.0,107.33333333333333,161,3,0
MNST,10000,9525.43042755127,-474.56957244873047,-4.745695724487309,-2.4111405863741497,49.115207123903474,-53.86090284839078,-0.14877923278009464,-0.21363446032341105,-3.0200133577005133,22.214092788696288,2221.409278869629,6,1,4,16.666666666666664,69.2400207519529,539.4273891448975,0.12835837064505098,0.032089592661262746,-437.9828208287558,69.2400207519529,-861.8595504760742,35.2,65,1,4
MO,10000,15079.25093285498,5079.25093285498,50.7925093285498,22.898115165193534,49.115207123903474,1.677302204646324,0.8746378836489989,3.203256838064651,1.766489519155029,15.856521002305172,2840.073300832397,4,3,1,75.0,1968.5780157018517,826.4831142505761,2.3818732430932776,7.145619729279833,1269.8127332137447,3061.572403853976,-826.4831142505761,104.5,142,3,1
MOH,10000,6326.3619384765625,-3673.6380615234375,-36.736380615234374,-20.5340810650554,49.115207123903474,-85.85158773913784,-1.1962505965939423,-0.93696271591051,-2.473757073478001,39.207942847048244,4080.1981201171875,10,1,9,10.0,859.7503662109375,503.70982530381946,1.7068366011966658,0.18964851124407398,-367.3638061523438,859.7503662109375,-1129.919677734375,20.7,52,1,6
MOS,10000,8455.379363914657,-1544.620636085343,-15.44620636085343,-8.077591357345359,49.115207123903474,-64.56141348475691,-0.21790310105397218,-0.43409364121631494,-0.9751184605476927,35.58265980946809,3558.346690117981,9,1,7,11.11111111111111,1793.1137583148268,573.1405904419155,3.128575759975856,0.4469393942822652,-310.22344058005524,1793.1137583148268,-889.6862085287431,28.625,81,1,6
MPC,10000,8510.671432984893,-1489.3285670151072,-14.89328567015107,-7.776330625884764,49.115207123903474,-64.00849279405455,-0.1548347952065974,-0.3782211704211974,-0.49241469644598634,39.37718677557235,3994.0548749227573,8,1,7,12.5,2603.774917434009,584.7290692070164,4.4529595919784395,0.6361370845683485,-186.16607087688828,2603.774917434009,-791.9297299740265,27.125,79,1,6
MPWR,10000,7744.763422224437,-2255.236577775563,-22.552365777755632,-12.04045408013198,49.115207123903474,-71.6675729016591,-0.7686204510165595,-0.5446158826891622,-1.1557722911685155,41.40967330294942,4140.967330294942,8,1,6,12.5,1465.8883158606423,656.6682887219612,2.232311718163859,0.37205195302730987,-391.34871314913573,1465.8883158606423,-1357.9816464507437,30.714285714285715,112,1,6
MRK,10000,7582.231241041943,-2417.7687589580573,-24.177687589580575,-12.9719876910526,49.115207123903474,-73.29289471348405,-0.963859660453018,-0.6518237810873191,-2.625756067913061,37.092368046543704,4050.200042538304,9,2,6,22.22222222222222,272.54080304508574,609.8300540257795,0.44691271157581314,0.14897090385860437,-413.747641343365,300.0968506567809,-932.9208893044039,30.75,89,1,5
MRNA,10000,13508.040725708008,3508.040725708008,35.08040725708008,16.29373656756887,49.115207123903474,-14.034799866823391,0.6825597617372163,0.844773315082578,0.02550012236203956,41.52641499293916,6787.55891418457,8,2,5,25.0,2224.5147857666016,868.8737571716308,2.5602278436948898,1.0240911374779558,-95.52662143707266,3402.219978332519,-1224.1191215515137,25.857142857142858,52,1,4
MS,10000,24988.193417358598,14988.193417358598,149.88193417358596,58.365191381689385,49.115207123903474,100.76672704968249,1.3854922916362553,10.71848151801841,0.8939391572670724,13.983504465779546,2136.7008543476877,5,2,2,40.0,2071.9210318018368,485.38897743712783,4.268578661884038,4.268578661884038,537.5350262584581,3747.9706026554823,-954.9879603650595,53.0,95,2,1
MSCI,10000,11716.246352037857,1716.246352037857,17.16246352037858,8.275768851910236,49.115207123903474,-31.952743603524894,0.6695796785962238,1.2308950357088526,0.7790843150528692,13.943076397651563,1703.5910819424753,7,3,3,42.857142857142854,758.9754572034359,314.1935717910769,2.4156301253296064,2.415630125329607,145.73601206371424,1522.8648470473522,-474.85640633905814,53.5,98,2,2
MSFT,10000,10356.190170137748,356.1901701377483,3.56190170137749,1.7724635327442506,49.115207123903474,-45.55330542252598,0.06465592849766992,0.15612125797124357,0.16067489237975777,22.81496925955828,2364.013302309325,10,2,7,20.0,1634.7878204819938,395.5878474994518,4.132553188414766,1.180729482404219,10.487286096837295,2879.429490096344,-598.0936794379577,36.666666666666664,104,1,3
MSI,10000,13543.565563863936,3543.5655638639364,35.435655638639375,16.447166033956528,49.115207123903474,-13.6795514852641,0.5376352173333778,1.88993840690969,0.7762419341478496,18.74963517810168,2910.9958687829912,7,3,3,42.857142857142854,1866.4040032967293,739.1622593525004,2.5250261085186936,2.525026108518693,377.508996068598,4148.003719997478,-845.2854216283743,61.333333333333336,179,2,2
MTB,10000,13669.590132520176,3669.5901325201758,36.69590132520175,16.989847735565732,49.115207123903474,-12.419305798701721,0.8082082059522884,1.8446352542314943,0.9703641894104008,19.893310203750755,2985.2843464049165,6,3,3,50.0,2029.5191763102823,806.3224654702232,2.5170068591933967,2.5170068591933963,611.5983554200295,2814.0350213794427,-1009.8189972427418,44.666666666666664,85,2,2
MTCH,10000,7700.836477889883,-2299.163522110117,-22.99163522110117,-12.291248174348402,49.115207123903474,-72.10684234500465,-1.8421218419396417,-0.6182949243394504,-1.182453265102648,37.18554740792037,4208.012552524731,9,2,7,22.22222222222222,823.1981332909387,563.6513983845705,1.460473859641316,0.4172782456118046,-255.46261356779064,1410.0966833915577,-729.45825694615,32.888888888888886,95,1,3
